Epoch: 2.46078e+06 | MSE: 1313.14 | RK45-a: 7721.63 | SGP4-a: 7721.32
Epoch: 2.46078e+06 | MSE: 2265.81 | RK45-a: 7721.63 | SGP4-a: 7721.51
Epoch: 2.46078e+06 | MSE: 693.522 | RK45-a: 7721.62 | SGP4-a: 7720.46
Epoch: 2.46078e+06 | MSE: 5311.32 | RK45-a: 7721.61 | SGP4-a: 7718.34
Epoch: 2.46078e+06 | MSE: 3422.8 | RK45-a: 7721.61 | SGP4-a: 7715.55
Epoch: 2.46078e+06 | MSE: 5650.27 | RK45-a: 7721.62 | SGP4-a: 7712.54
Epoch: 2.46078e+06 | MSE: 9603.84 | RK45-a: 7721.63 | SGP4-a: 7709.88
Epoch: 2.46078e+06 | MSE: 4956.56 | RK45-a: 7721.63 | SGP4-a: 7708.03
Epoch: 2.46078e+06 | MSE: 8565.36 | RK45-a: 7721.62 | SGP4-a: 7707.3
Epoch: 2.46078e+06 | MSE: 4355.64 | RK45-a: 7721.61 | SGP4-a: 7707.83
Epoch: 2.46078e+06 | MSE: 5200.46 | RK45-a: 7721.61 | SGP4-a: 7709.52
Epoch: 2.46078e+06 | MSE: 4193.56 | RK45-a: 7721.62 | SGP4-a: 7712.08
Epoch: 2.46078e+06 | MSE: 1566.3 | RK45-a: 7721.63 | SGP4-a: 7715.06
Epoch: 2.46078e+06 | MSE: 5778.76 | RK45-a: 7721.63 | SGP4-a: 7717.93
Epoch: 2.46078e+06 | MSE: 987.434 | RK45-a: 7721.61 | SGP4-a: 7720.19
Epoch: 2.46078e+06 | MSE: 1701.25 | RK45-a: 7721.61 | SGP4-a: 7721.43
Epoch: 2.46078e+06 | MSE: 2668.24 | RK45-a: 7721.61 | SGP4-a: 7721.43
Epoch: 2.46078e+06 | MSE: 1727.69 | RK45-a: 7721.62 | SGP4-a: 7720.21
Epoch: 2.46078e+06 | MSE: 6717.69 | RK45-a: 7721.62 | SGP4-a: 7717.96
Epoch: 2.46078e+06 | MSE: 5500.05 | RK45-a: 7721.62 | SGP4-a: 7715.1
Epoch: 2.46078e+06 | MSE: 4556.03 | RK45-a: 7721.62 | SGP4-a: 7712.11
Epoch: 2.46078e+06 | MSE: 7811.13 | RK45-a: 7721.61 | SGP4-a: 7709.55
Epoch: 2.46078e+06 | MSE: 3473.89 | RK45-a: 7721.61 | SGP4-a: 7707.84
Epoch: 2.46078e+06 | MSE: 8070.44 | RK45-a: 7721.62 | SGP4-a: 7707.29
Epoch: 2.46078e+06 | MSE: 2995.08 | RK45-a: 7721.62 | SGP4-a: 7708.01
Epoch: 2.46078e+06 | MSE: 4870.2 | RK45-a: 7721.62 | SGP4-a: 7709.86
Epoch: 2.46078e+06 | MSE: 2820.55 | RK45-a: 7721.61 | SGP4-a: 7712.51
Epoch: 2.46078e+06 | MSE: 1242.98 | RK45-a: 7721.61 | SGP4-a: 7715.51
Epoch: 2.46078e+06 | MSE: 5879.73 | RK45-a: 7721.62 | SGP4-a: 7718.31
Epoch: 2.46078e+06 | MSE: 1066.02 | RK45-a: 7721.62 | SGP4-a: 7720.45
Epoch: 2.46078e+06 | MSE: 2855.39 | RK45-a: 7721.62 | SGP4-a: 7721.51
Epoch: 2.46078e+06 | MSE: 2992.02 | RK45-a: 7721.61 | SGP4-a: 7721.32
Epoch: 2.46078e+06 | MSE: 3171.9 | RK45-a: 7721.62 | SGP4-a: 7719.93
Epoch: 2.46078e+06 | MSE: 9121.63 | RK45-a: 7721.62 | SGP4-a: 7717.56
Epoch: 2.46078e+06 | MSE: 5749.2 | RK45-a: 7721.62 | SGP4-a: 7714.65
Epoch: 2.46078e+06 | MSE: 2964.33 | RK45-a: 7721.62 | SGP4-a: 7711.69
Epoch: 2.46078e+06 | MSE: 5957.8 | RK45-a: 7721.62 | SGP4-a: 7709.23
Epoch: 2.46078e+06 | MSE: 1988.27 | RK45-a: 7721.62 | SGP4-a: 7707.68
Epoch: 2.46078e+06 | MSE: 6678.9 | RK45-a: 7721.62 | SGP4-a: 7707.32
Epoch: 2.46078e+06 | MSE: 1659.51 | RK45-a: 7721.63 | SGP4-a: 7708.22
Epoch: 2.46078e+06 | MSE: 3743.07 | RK45-a: 7721.64 | SGP4-a: 7710.21
Epoch: 2.46078e+06 | MSE: 1791.63 | RK45-a: 7721.64 | SGP4-a: 7712.95
Epoch: 2.46078e+06 | MSE: 1043.85 | RK45-a: 7721.63 | SGP4-a: 7715.96
Epoch: 2.46078e+06 | MSE: 5954.58 | RK45-a: 7721.62 | SGP4-a: 7718.69
Epoch: 2.46078e+06 | MSE: 2095.46 | RK45-a: 7721.63 | SGP4-a: 7720.68
Epoch: 2.46078e+06 | MSE: 4544.35 | RK45-a: 7721.65 | SGP4-a: 7721.56
Epoch: 2.46078e+06 | MSE: 4387.36 | RK45-a: 7721.66 | SGP4-a: 7721.19
Epoch: 2.46078e+06 | MSE: 5402.45 | RK45-a: 7721.65 | SGP4-a: 7719.63
Epoch: 2.46078e+06 | MSE: 6707.16 | RK45-a: 7721.64 | SGP4-a: 7717.14
Epoch: 2.46078e+06 | MSE: 3814.07 | RK45-a: 7721.63 | SGP4-a: 7714.19
Epoch: 2.46078e+06 | MSE: 2054.2 | RK45-a: 7721.64 | SGP4-a: 7711.28
Epoch: 2.46078e+06 | MSE: 4628.1 | RK45-a: 7721.66 | SGP4-a: 7708.93
Epoch: 2.46078e+06 | MSE: 1284.35 | RK45-a: 7721.67 | SGP4-a: 7707.55
Epoch: 2.46078e+06 | MSE: 6501.29 | RK45-a: 7721.66 | SGP4-a: 7707.38
Epoch: 2.46078e+06 | MSE: 1056.15 | RK45-a: 7721.65 | SGP4-a: 7708.45
Epoch: 2.46078e+06 | MSE: 3702.68 | RK45-a: 7721.64 | SGP4-a: 7710.59
Epoch: 2.46078e+06 | MSE: 1395.22 | RK45-a: 7721.65 | SGP4-a: 7713.39
Epoch: 2.46078e+06 | MSE: 1716.23 | RK45-a: 7721.66 | SGP4-a: 7716.4
Epoch: 2.46078e+06 | MSE: 7274.38 | RK45-a: 7721.67 | SGP4-a: 7719.04
Epoch: 2.46078e+06 | MSE: 3694.42 | RK45-a: 7721.67 | SGP4-a: 7720.89
Epoch: 2.46078e+06 | MSE: 6892.02 | RK45-a: 7721.66 | SGP4-a: 7721.59
Epoch: 2.46078e+06 | MSE: 6575.65 | RK45-a: 7721.65 | SGP4-a: 7721.03
Epoch: 2.46078e+06 | MSE: 4538.76 | RK45-a: 7721.66 | SGP4-a: 7719.31
Epoch: 2.46078e+06 | MSE: 4443.1 | RK45-a: 7721.66 | SGP4-a: 7716.72
Epoch: 2.46078e+06 | MSE: 2525.17 | RK45-a: 7721.67 | SGP4-a: 7713.74
Epoch: 2.46078e+06 | MSE: 1452.65 | RK45-a: 7721.67 | SGP4-a: 7710.88
Epoch: 2.46078e+06 | MSE: 4125.27 | RK45-a: 7721.67 | SGP4-a: 7708.65
Epoch: 2.46078e+06 | MSE: 986.013 | RK45-a: 7721.66 | SGP4-a: 7707.44
Epoch: 2.46078e+06 | MSE: 6309.54 | RK45-a: 7721.66 | SGP4-a: 7707.46
Epoch: 2.46078e+06 | MSE: 1010.79 | RK45-a: 7721.67 | SGP4-a: 7708.71
Epoch: 2.46078e+06 | MSE: 4001.6 | RK45-a: 7721.68 | SGP4-a: 7710.97
Epoch: 2.46078e+06 | MSE: 1696.42 | RK45-a: 7721.68 | SGP4-a: 7713.84
Epoch: 2.46078e+06 | MSE: 3149.4 | RK45-a: 7721.67 | SGP4-a: 7716.83
Epoch: 2.46078e+06 | MSE: 9450.7 | RK45-a: 7721.66 | SGP4-a: 7719.38
Epoch: 2.46078e+06 | MSE: 5774.17 | RK45-a: 7721.66 | SGP4-a: 7721.07
Epoch: 2.46078e+06 | MSE: 6137.56 | RK45-a: 7721.67 | SGP4-a: 7721.58
Epoch: 2.46078e+06 | MSE: 6572.5 | RK45-a: 7721.68 | SGP4-a: 7720.84
Epoch: 2.46078e+06 | MSE: 3083.45 | RK45-a: 7721.67 | SGP4-a: 7718.97
Epoch: 2.46078e+06 | MSE: 3939.68 | RK45-a: 7721.67 | SGP4-a: 7716.29
Epoch: 2.46078e+06 | MSE: 1869.03 | RK45-a: 7721.66 | SGP4-a: 7713.29
Epoch: 2.46078e+06 | MSE: 1786.03 | RK45-a: 7721.66 | SGP4-a: 7710.49
Epoch: 2.46078e+06 | MSE: 3625.32 | RK45-a: 7721.67 | SGP4-a: 7708.4
Epoch: 2.46078e+06 | MSE: 1359.78 | RK45-a: 7721.67 | SGP4-a: 7707.36
Epoch: 2.46078e+06 | MSE: 5933.12 | RK45-a: 7721.66 | SGP4-a: 7707.57
Epoch: 2.46078e+06 | MSE: 1398.35 | RK45-a: 7721.66 | SGP4-a: 7708.99
Epoch: 2.46078e+06 | MSE: 5244.36 | RK45-a: 7721.67 | SGP4-a: 7711.38
Epoch: 2.46078e+06 | MSE: 2298.33 | RK45-a: 7721.67 | SGP4-a: 7714.29
Epoch: 2.46078e+06 | MSE: 5114.39 | RK45-a: 7721.67 | SGP4-a: 7717.25
Epoch: 2.46078e+06 | MSE: 9549.99 | RK45-a: 7721.66 | SGP4-a: 7719.69
Epoch: 2.46078e+06 | MSE: 5172.62 | RK45-a: 7721.67 | SGP4-a: 7721.22
Epoch: 2.46078e+06 | MSE: 4534.64 | RK45-a: 7721.67 | SGP4-a: 7721.55
Epoch: 2.46078e+06 | MSE: 4603.53 | RK45-a: 7721.67 | SGP4-a: 7720.62
Epoch: 2.46078e+06 | MSE: 1806.65 | RK45-a: 7721.67 | SGP4-a: 7718.61
Epoch: 2.46078e+06 | MSE: 3602.61 | RK45-a: 7721.67 | SGP4-a: 7715.85
Epoch: 2.46078e+06 | MSE: 2125.33 | RK45-a: 7721.67 | SGP4-a: 7712.85
Epoch: 2.46078e+06 | MSE: 2431.24 | RK45-a: 7721.67 | SGP4-a: 7710.13
Epoch: 2.46078e+06 | MSE: 4777.58 | RK45-a: 7721.67 | SGP4-a: 7708.17
Epoch: 2.46078e+06 | MSE: 2406.91 | RK45-a: 7721.68 | SGP4-a: 7707.31
Epoch: 2.46078e+06 | MSE: 7813.45 | RK45-a: 7721.69 | SGP4-a: 7707.71
