Epoch,Position_X_km,Position_Y_km,Position_Z_km,Velocity_X_kmps,Velocity_Y_kmps,Velocity_Z_kmps
2460387.965508,-1708.212929,-4775.092569,-5816.477174,5.614940,2.514669,-3.710493
2460387.965515,-1504.130053,-4681.421809,-5947.398465,5.665244,2.662755,-3.525865
2460387.965522,-1298.343169,-4582.447524,-6071.567051,5.709125,2.807808,-3.337254
2460387.965529,-1091.085569,-4478.282405,-6188.842696,5.746534,2.949666,-3.144875
2460387.965536,-882.592157,-4369.044975,-6299.092990,5.777432,3.088168,-2.948945
2460387.965543,-673.099182,-4254.859453,-6402.193491,5.801783,3.223160,-2.749687
2460387.965550,-462.843974,-4135.855610,-6498.027855,5.819563,3.354489,-2.547327
2460387.965557,-252.064678,-4012.168624,-6586.487966,5.830751,3.482009,-2.342093
2460387.965564,-40.999989,-3883.938921,-6667.474046,5.835337,3.605577,-2.134218
2460387.965571,170.111115,-3751.312018,-6740.894767,5.833317,3.725054,-1.923936
2460387.965578,381.029638,-3614.438361,-6806.667344,5.824693,3.840306,-1.711485
2460387.965585,591.516831,-3473.473150,-6864.717624,5.809476,3.951205,-1.497105
2460387.965592,801.334457,-3328.576169,-6914.980166,5.787684,4.057625,-1.281037
2460387.965599,1010.245058,-3179.911605,-6957.398307,5.759343,4.159449,-1.063524
2460387.965606,1218.012213,-3027.647868,-6991.924226,5.724483,4.256561,-0.844813
2460387.965613,1424.400801,-2871.957396,-7018.518993,5.683146,4.348853,-0.625149
2460387.965620,1629.177265,-2713.016470,-7037.152608,5.635377,4.436222,-0.404779
2460387.965627,1832.109864,-2551.005018,-7047.804035,5.581231,4.518569,-0.183953
2460387.965634,2032.968931,-2386.106410,-7050.461224,5.520768,4.595802,0.037083
2460387.965641,2231.527130,-2218.507261,-7045.121124,5.454056,4.667835,0.258078
2460387.965648,2427.559705,-2048.397223,-7031.789686,5.381170,4.734586,0.478785
2460387.965655,2620.844727,-1875.968773,-7010.481858,5.302192,4.795979,0.698954
2460387.965662,2811.163344,-1701.417004,-6981.221566,5.217209,4.851947,0.918338
2460387.965669,2998.300018,-1524.939407,-6944.041696,5.126317,4.902425,1.136690
2460387.965676,3182.042773,-1346.735654,-6898.984052,5.029618,4.947356,1.353763
